source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source
doid	DOID:0050256	angiostrongyliasis	skos:exactMatch	mesh	C536369	Angiostrongyliasis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0050544	hypermethioninemia	skos:exactMatch	mesh	C564683	Hypermethioninemia	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0050561	Lennox-Gastaut syndrome	skos:exactMatch	mesh	D065768	Lennox Gastaut Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0050573	2-hydroxyglutaric aciduria	skos:exactMatch	mesh	C535306	2-Hydroxyglutaricaciduria	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0050576	Senior-Loken syndrome	skos:exactMatch	mesh	C537580	Senior Loken Syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0050577	cranioectodermal dysplasia	skos:exactMatch	mesh	C562966	Cranioectodermal Dysplasia	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0050585	congenital generalized lipodystrophy	skos:exactMatch	mesh	D052497	Lipodystrophy, Congenital Generalized	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0050634	alopecia universalis	skos:exactMatch	mesh	C537055	Alopecia universalis	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0050678	Blau syndrome	skos:exactMatch	mesh	C538157	Blau syndrome	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0050679	blue cone monochromacy	skos:exactMatch	mesh	C536238	Blue cone monochromatism	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0050696	fetal alcohol spectrum disorder	skos:exactMatch	mesh	D063647	Fetal Alcohol Spectrum Disorders	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0060046	aphasia	skos:exactMatch	mesh	D001037	Aphasia	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0060602	alpha-methylacyl-CoA racemase deficiency	skos:exactMatch	mesh	C565768	Alpha-Methylacyl-CoA Racemase Deficiency	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0060604	ankyloglossia	skos:exactMatch	mesh	D000072676	Ankyloglossia	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0060668	anencephaly	skos:exactMatch	mesh	D000757	Anencephaly	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0060743	methylmalonic acidemia cblB type	skos:exactMatch	mesh	C537361	Methylmalonic aciduria cblB type	manually_reviewed	orcid:0000-0001-9439-5346
doid	DOID:0060887	ossification of the posterior longitudinal ligament of spine	skos:exactMatch	mesh	C537143	Ossification of the posterior longitudinal ligament of the spine	manually_reviewed	orcid:0000-0001-9439-5346
